week,Sales,Promotion,Feature,Walmart ,Holiday
1,586953,0.89,0.87,No,No
2,838022,1.08,0.84,No,No
3,861991,0.95,1.12,No,No
4,767198,1.06,0.95,No,No
5,777392,1.01,1.06,No,No
6,725924,1.07,1.09,No,No
7,701517,1.22,1.03,No,No
8,1027152,1.06,1.08,No,No
9,755625,1.08,0.99,No,No
10,445967,0.8,0.88,No,No
11,659739,1.05,1,No,No
12,568184,0.97,0.98,No,No
13,599469,0.96,0.92,No,No
14,729416,1.09,1.05,No,No
15,553491,0.93,1.11,No,No
16,602293,1.18,0.99,No,No
17,586073,0.99,1.14,No,No
18,698856,0.99,1.08,No,No
19,683923,1.06,1.05,No,No
20,718269,0.97,0.99,No,No
21,862595,0.99,1.03,No,No
22,651544,1.06,1.05,No,No
23,593623,0.94,1.05,No,No
24,515865,1.05,1,No,No
25,862077,1.02,1.08,No,No
26,670715,0.99,1.08,No,No
27,732560,0.95,0.99,No,No
28,1203807,1.07,1.11,No,No
29,882929,1.04,1.11,No,No
30,1267301,1.24,1.05,No,Yes
31,1056635,1.12,0.89,No,Yes
32,656514,1.04,1.08,No,No
33,751104,1.09,0.81,No,No
34,514474,1.04,0.9,No,No
35,1101298,1.12,0.94,No,Yes
36,722303,0.91,0.87,No,Yes
37,1069070,1.16,0.89,No,No
38,786148,1,1.04,No,No
39,892338,0.97,1.06,No,No
40,1229847,1.03,1.13,No,No
41,581113,0.88,1.06,No,No
42,544270,1.03,0.85,No,No
43,648100,1.06,0.84,No,No
44,525392,0.94,1.12,No,No
45,644738,1.02,0.97,No,No
46,721581,1.02,0.86,No,No
47,557880,0.95,0.95,No,No
48,1064909,1.1,1.02,No,No
49,724328,1.04,1.23,No,No
50,541176,0.88,0.96,No,No
51,464678,1.25,1.03,Present,No
52,701797,0.96,1.18,Present,No
53,561575,0.91,1.11,Present,No
54,548367,1.01,1.02,Present,No
55,490755,1.01,0.96,Present,No
56,358398,0.9,0.94,Present,No
57,567275,1.1,0.96,Present,No
58,551226,1.04,0.97,Present,No
59,513343,1.33,1.08,Present,No
60,510477,1.04,0.88,Present,No
61,389570,0.98,0.96,Present,No
62,557992,0.96,0.89,Present,No
63,386969,1.16,1.06,Present,No
64,715116,1.05,1.14,Present,No
65,625433,1.26,0.99,Present,No
66,586132,1.19,1.08,Present,No
67,657171,0.99,0.94,Present,No
68,455887,0.86,1,Present,No
69,504993,1.06,0.93,Present,No
70,632478,0.94,0.86,Present,No
71,1027049,1.09,1.26,Present,No
72,299359,0.86,0.83,Present,No
73,675900,0.95,0.98,Present,No
74,500769,0.91,1.03,Present,No
75,451306,0.92,1.16,Present,No
76,610663,1.14,0.81,Present,No
77,472787,0.93,1.23,Present,No
78,447128,1,1.09,Present,No
79,451938,1.11,1.06,Present,No
80,401997,1.08,0.92,Present,No
81,397957,0.97,0.99,Present,No
82,630583,1.07,1.04,Present,Yes
83,610846,0.84,1.1,Present,Yes
84,631530,0.84,1.11,Present,No
85,379838,0.83,0.89,Present,No
86,414820,0.94,0.78,Present,No
87,644867,1.02,0.95,Present,Yes
88,466867,0.8,1.01,Present,Yes
89,439987,0.92,0.87,Present,No
90,519696,0.99,0.95,Present,No
91,536113,0.92,1.07,Present,No
92,366994,1.02,1,Present,No
93,693704,0.95,1.22,Present,No
94,945057,1.15,1.03,Present,No
95,345933,0.79,0.83,Present,No
96,566765,0.97,1.1,Present,No
97,476727,0.94,1.05,Present,No
98,691142,0.91,1.01,Present,No
99,616307,1.02,1.07,Present,No
100,447486,1.05,1.06,Present,No
